Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
9/16/2020,990,16:02,24.44,ShCr05,599,18.1,8.89,0.29,13.85,9.16,42.4
9/23/2020,997,14:01,23.89,ShCr05,627.5,14.2,8.31,0.31,18.48,9.79,51.28
9/30/2020,1004,13:55,16.67,ShCr05,581.1,14.7,8.26,0.28,3.3,9.7,40.77
10/2/2020,1006,15:51,15.56,ShCr05,584.2,13.5,8.36,0.29,,11.26,57.53
10/7/2020,1011,13:53,22.78,ShCr05,617.5,13.7,8.19,0.3,51.7,9.66,40.82
10/14/2020,1019,13:32,18.33,ShCr05,576.8,12.5,8.08,0.28,2.18,9.58,55.21
10/20/2020,1026,14:35,16.67,ShCr05,527.6,13.4,8.03,0.26,,10.99,49.15
11/18/2020,1053,14:14,5.56,ShCr05,599.2,5.9,8.4,0.29,,28.88,66.92
6/21/2019,537,10:15,18.89,ShCr06,583,17.8,8.23,0.28,,8.95,53.8
6/28/2019,544,11:02,27.22,ShCr06,942,21,8.6,0.47,,8.47,162.79
7/3/2019,549,9:38,22.22,ShCr06,1119,22.2,8.27,0.56,,8.26,175.45
7/10/2019,556,9:36,24.44,ShCr06,1219,22.2,8.35,0.61,4.97,8.23,213.89
7/24/2019,570,11:07,20,ShCr06,932,19,8.43,0.46,,9.07,78.14
7/29/2019,575,9:56,25.56,ShCr06,1628,21.4,8.26,0.82,16.7,7.4,267.44
8/7/2019,584,10:00,20,ShCr06,1140,21.9,8.39,0.57,10.87,8.02,148.06
8/30/2019,607,14:52,27.78,ShCr06,1448,23.9,8.65,0.73,,6.67,
9/18/2019,626,12:06,21.11,ShCr06,1727,19,8.35,0.88,6.12,8.89,
10/2/2019,640,15:16,30.56,ShCr06,1835,24.6,8.31,0.93,,8.56,
10/23/2019,661,15:18,14.44,ShCr06,1193,13.7,8.19,0.6,,10.67,147.46
11/1/2019,670,,7,ShCr06,734,10.7,8.27,0.37,,9.63,33.56
11/14/2019,683,15:50,-3,ShCr06,829,4.6,8,0.4,8.12,14.43,75.47
11/20/2019,689,13:00,4.44,ShCr06,1235,6.7,8.27,0.62,,9.13,111.56
12/11/2019,710,12:03,-2.78,ShCr06,747.8,3.2,7.73,0.36,,,71.29
12/18/2019,717,12:39,-3.33,ShCr06,724.1,2.6,7.81,0.35,,13.33,65.45
12/26/2019,725,11:16,9.44,ShCr06,832.6,2.8,7.84,0.41,,13.56,72.55
1/8/2020,738,10:47,1.11,ShCr06,713.2,3,7.77,0.35,,12.48,36.73
2/5/2020,766,12:32,2.22,ShCr06,718.1,5.7,7.96,0.35,,11.75,52.61
2/20/2020,781,,,ShCr06,694.6,3.3,8.11,0.34,5.52,13.45,35.98
3/9/2020,799,10:33,12.22,ShCr06,845,4,8.33,0.41,,12.86,69
3/26/2020,816,11:04,12.78,ShCr06,688.5,7.6,8.28,0.34,,11.46,53.55
4/10/2020,831,8:43,1.11,ShCr06,689.8,5.5,8.09,0.34,,12,69.3
5/1/2020,852,8:07,7.22,ShCr06,575.6,10.2,8.16,0.28,,10.47,59.72
5/8/2020,859,8:52,7.78,ShCr06,720,10.2,8.19,0.35,,11.37,73.21
5/13/2020,864,11:00,12.78,ShCr06,738,9.3,8.61,0.36,,12.1,95.74
5/20/2020,871,8:35,8.89,ShCr06,883,13.4,8.33,0.44,,10.8,74.48
5/28/2020,879,8:53,18.89,ShCr06,793,19.5,8.08,0.39,,7.79,90.69
6/5/2020,887,10:59,20.56,ShCr06,820,19.3,8.24,0.4,,8.08,91.17
6/9/2020,891,11:50,27.22,ShCr06,846,19.7,8.31,0.42,,8.57,
6/17/2020,899,9:12,18.89,ShCr06,1083,17.1,8.28,0.54,14.45,9.29,
6/23/2020,905,9:51,21.11,ShCr06,1527,20.9,8.28,0.77,,7.69,
6/29/2020,911,10:12,23.89,ShCr06,1508,21,8.37,0.76,39.86,7.89,157.92
7/8/2020,920,9:37,23.89,ShCr06,1014,22.5,8.32,0.5,,7.82,66.1
7/29/2020,941,12:45,28.89,ShCr06,1845,25.1,8.43,0.93,3.4,8.39,312.81
8/4/2020,947,10:47,21.67,ShCr06,1205,21.5,8.39,0.6,3.7,8.03,161.31
8/12/2020,955,10:18,25.56,ShCr06,1508,21.9,8.39,0.76,5.61,7.7,215.3
8/19/2020,962,15:03,26.11,ShCr06,1492,24.4,8.48,0.75,9.85,8.61,183.43
8/26/2020,969,13:25,26.67,ShCr06,2749,23.6,8.52,1.42,5.53,8.11,585.27
9/2/2020,976,13:12,25,ShCr06,886,23.4,8.2,0.43,101.2,7.59,124.21
9/9/2020,983,14:21,29.44,ShCr06,1267,24.9,8.42,0.62,30.4,7.86,155.34
9/16/2020,990,13:13,17.33,ShCr06,2204,18.5,8.82,1.13,4.79,8.57,337.84
9/23/2020,997,14:20,23.89,ShCr06,1584,17.9,8.34,0.8,6.02,9.62,244.26
9/30/2020,1004,14:12,16.67,ShCr06,2399,17.6,8.32,1.24,4.3,8.78,406.73
10/2/2020,1006,15:22,15.56,ShCr06,2657,15.3,8.34,1.38,,10.49,460.31
10/7/2020,1011,14:14,22.78,ShCr06,2855,16.7,8.21,1.49,7.4,9.37,491.89
10/14/2020,1019,13:48,18.33,ShCr06,1453,14.9,8.2,0.73,2.96,9.07,212
10/20/2020,1026,12:38,16.67,ShCr06,1187,13.7,8.16,0.59,,9.68,170.66
11/18/2020,1053,12:19,2.78,ShCr06,1914,6.2,8.34,0.97,,18.9,400
11/24/2020,1059,11:18,4.44,ShCr06,1135,4.7,8.32,0.56,,14.69,188.69
12/3/2020,1068,11:11,1.11,ShCr06,1685,2.5,8.33,0.84,,15.67,440.05
2/20/2018,51,16:08,25,NoFr01,540,13.5,8.22,0.3,,,
3/25/2018,84,17:18,4.44,NoFr01,670,6.8,8.65,0.3,2.01,,
